Date(YYYY/MM/DD)    Time           Latitude        Longitude           Depth       Mag      Magt     Nst    Gap     Clo     RMS    SRC     EventID
1966/07/01 09:41:21.82  35.9463 -120.4700  12.26  3.20   Mx    7 171   20 0.02 NCSN   -4540462
1966/07/02 12:08:34.25  35.7867 -120.3265   8.99  3.70   Mx    8  86    3 0.04 NCSN   -4540520
1966/07/02 12:16:14.95  35.7928 -120.3353   9.88  3.40   Mx    8  89    2 0.03 NCSN   -4540521
1966/07/02 12:25:06.12  35.7970 -120.3282   9.09  3.10   Mx    8 101    3 0.08 NCSN   -4540522
1966/07/05 18:54:54.36  35.9223 -120.4585   7.86  3.10   Mx    9 161   14 0.04 NCSN   -4540594
1966/07/27 08:12:00.26  35.9103 -120.4397   8.02  3.00   Mx   10 158   12 0.02 NCSN   -4540837
1966/08/03 12:39:05.79  35.8137 -120.3527   6.59  3.40   Mx   10 131    2 0.05 NCSN   -4540891
1966/08/07 17:03:24.14  35.9380 -120.4568  11.76  3.00   Mx   11 153   19 0.04 NCSN   -4540922
1966/08/19 22:51:20.04  35.9140 -120.4272   1.67  3.30   Mx    6 165   11 0.10 NCSN   -4540969
1966/09/07 00:20:52.12  36.0032 -120.0317  10.61  3.40   Mx   13 258   27 0.14 NCSN   -4541046
1968/01/12 22:19:10.35  36.6453 -121.2497   6.84  3.00   ML   14 155    2 0.07 NCSN   -1001356
1968/02/09 13:42:37.05  37.1527 -121.5448   8.49  3.00   ML   25 157    7 0.08 NCSN   -1001405
1968/02/21 14:39:48.10  37.1783 -121.5780   6.95  3.80   ML   29 142    4 0.10 NCSN   -1001431
1968/03/02 04:25:53.94  36.8343 -121.5447   5.35  3.00   Mx   17 106    5 0.16 NCSN   -1001455
1968/03/17 15:07:02.12  37.3088 -121.6615   4.39  3.00   ML   29  85    4 0.07 NCSN   -1001502
1968/03/21 21:54:59.94  37.0378 -121.7407  11.86  4.30   ML   29 133    6 0.10 NCSN   -1001514
1968/05/03 21:39:57.28  37.7290 -122.1162  10.08  3.20   ML   23 161   19 0.04 NCSN   -1001592
1968/05/21 22:33:01.20  37.3577 -121.6310   8.00  3.00   Mx    7 151    9 0.06 NCSN   -1001624
1968/05/25 09:41:04.33  37.4133 -121.8243   1.77  3.42   Mx   21 115    5 0.12 NCSN   -1001633
1968/05/25 11:46:48.64  37.4225 -121.8105   4.05  3.14   Mx   14 105    3 0.08 NCSN   -1001634
1968/05/30 08:03:01.06  38.1722 -123.2057   5.00  4.20   ML   38 324   91 0.30 NCSN   -1001645
1968/06/20 07:50:28.11  36.8142 -121.5412   6.80  3.50   ML   25  72    3 0.20 NCSN   -1001698
1968/08/08 19:41:31.32  37.4095 -121.7580   8.35  3.20   ML   31  76    3 0.07 NCSN   -1001806
1968/08/19 09:05:27.25  36.4967 -121.8773   4.99  3.23   Mx    5 270   43 0.06 NCSN   -1001831
1968/09/26 20:01:14.08  37.0180 -121.7010   9.85  3.14   Mx   30  65    4 0.15 NCSN   -1001894
1968/10/15 02:20:54.84  37.4928 -121.6923   9.58  3.26   Mx   12 216    8 0.06 NCSN   -1001942
1968/12/11 21:37:37.59  37.1618 -121.5590   6.45  3.90   ML   31 112    6 0.09 NCSN   -1002059
1968/12/11 21:45:38.80  37.1642 -121.5602   6.71  3.00   ML   29 111    6 0.08 NCSN   -1002060
1969/01/03 17:46:03.93  36.4408 -120.9417  13.60  3.24   Md   15 166   34 0.17 NCSN   -1002106
1969/01/04 15:28:41.49  36.9172 -121.3040   9.31  3.71   Md   17 164   15 0.08 NCSN   -1002108
1969/01/09 09:42:47.28  35.9957 -120.5372  11.44  3.80   ML    6 169    8 0.01 NCSN   -1002125
1969/01/13 21:23:28.21  36.5970 -121.0407   5.26  3.13   Md    8 123    9 0.14 NCSN   -1002138
1969/01/16 22:49:23.44  36.6530 -121.2732   0.30  3.26   Md   10 123    4 0.06 NCSN   -1002145
1969/01/29 14:49:01.29  35.8168 -121.3002   6.45  3.04   Md    9 252   57 0.06 NCSN   -1002184
1969/02/02 07:22:11.83  36.9838 -121.6257   6.24  3.23   Md   16 102    5 0.09 NCSN   -1002193
1969/02/04 00:45:30.28  35.9232 -120.7358   4.96  3.00   ML    5 189   24 0.79 NCSN   -1002198
1969/02/04 02:17:56.86  36.8677 -121.6012   7.48  3.41   Md    8 158    2 0.05 NCSN   -1002199
1969/02/05 06:04:51.83  37.0260 -121.2205   1.55  3.24   Md   11 276    7 0.09 NCSN   -1002205
1969/02/06 11:32:27.64  36.8337 -121.4082  11.14  3.02   Md   13  96    6 0.13 NCSN   -1002210
1969/02/09 18:13:43.19  36.8480 -121.5667   6.50  3.63   Md    9  94    6 0.06 NCSN   -1002217
1969/02/09 19:34:46.56  36.8488 -121.5755   6.84  3.15   Md    8  98    6 0.10 NCSN   -1002218
1969/02/15 04:29:39.53  37.9380 -121.7265  13.60  3.75   Md   15 287   53 0.23 NCSN   -1002225
1969/02/15 15:44:22.79  36.5970 -121.0272  11.10  3.29   Md   21 116    8 0.20 NCSN   -1002226
1969/02/24 00:43:33.46  36.9642 -121.5915   4.20  3.68   Md   17  71    1 0.12 NCSN   -1002257
1969/02/26 23:42:24.70  36.7587 -121.4405  11.12  3.22   Md   17 165    1 0.07 NCSN   -1002266
1969/02/26 23:44:42.53  36.7672 -121.4327  10.71  3.32   Md   16 117    1 0.10 NCSN   -1002267
