password,target_label,actual_label,label_match
wuy32,weak,weak,True
guest,weak,weak,True
lkcqns,weak,weak,True
871844,weak,weak,True
tom,weak,weak,True
user,weak,weak,True
iyf10,weak,weak,True
pcj74,weak,weak,True
d3mo,weak,weak,True
575828,weak,weak,True
asdfgh,weak,weak,True
ehsl,weak,weak,True
john,weak,weak,True
asdfgh,weak,weak,True
asdfgh,weak,weak,True
2289,weak,weak,True
us3r,weak,weak,True
anna,weak,weak,True
ggwrl,weak,weak,True
ofba,weak,weak,True
rciu,weak,weak,True
asdfgh,weak,weak,True
vnau,weak,weak,True
zxcvbn,weak,weak,True
5659,weak,weak,True
pds43,weak,weak,True
zxcvbn,weak,weak,True
test123123,weak,weak,True
user000,weak,weak,True
pnr62,weak,weak,True
4dmin,weak,weak,True
saxao,weak,weak,True
cmzza,weak,weak,True
emma,weak,weak,True
xyl37,weak,weak,True
john,weak,weak,True
tfga,weak,weak,True
qwerty,weak,weak,True
amq29,weak,weak,True
fuka,weak,weak,True
zxcvbn,weak,weak,True
t3st123,weak,weak,True
6716,weak,weak,True
qwerty,weak,weak,True
us3r,weak,weak,True
8812,weak,weak,True
lin38,weak,weak,True
123456999,weak,weak,True
chris,weak,weak,True
slw,weak,weak,True
phbsn,weak,weak,True
zxcvbn,weak,weak,True
emma,weak,weak,True
kpwfo,weak,weak,True
qwerty,weak,weak,True
3896,weak,weak,True
kso84,weak,weak,True
sjdnsp,weak,weak,True
gbu18,weak,weak,True
qwerty,weak,weak,True
tom,weak,weak,True
tom,weak,weak,True
admin,weak,weak,True
t3st,weak,weak,True
623845,weak,weak,True
4dmin,weak,weak,True
cje87,weak,weak,True
anna,weak,weak,True
1835,weak,weak,True
qhspi,weak,weak,True
fbq22,weak,weak,True
t3st123,weak,weak,True
test123,weak,weak,True
temp789,weak,weak,True
gu3st,weak,weak,True
rshjlx,weak,weak,True
world,weak,weak,True
jane,weak,weak,True
ugulv,weak,weak,True
login,weak,weak,True
13554,weak,weak,True
448446,weak,weak,True
asdfgh,weak,weak,True
emgwo,weak,weak,True
abc123,weak,weak,True
