customer_id,customer_name,reg_date
1,Hazel Lad,31/03/25
2,Biju Sampath,24/05/24
3,Gatik Vohra,16/06/24
4,Chirag Goda,27/08/23
5,Kismat Kalla,02/11/24
6,Yakshit Goswami,07/11/23
7,Abram Kulkarni,06/02/24
8,Vedika Dani,28/01/24
9,Jayant Swaminathan,02/11/24
10,Khushi Mane,29/11/24
11,Riya Kothari,11/11/23
12,Zara Chowdhury,03/04/25
13,Vihaan Taneja,25/01/24
14,Vihaan Ranganathan,28/03/25
15,Charvi Kurian,24/09/24
16,Piya Kala,30/09/23
17,Himmat Karpe,12/01/25
18,Taran Mand,04/07/23
19,Vedika Som,28/01/24
20,Lavanya Varma,24/09/23
21,Saanvi Sarkar,08/03/24
22,Riya Gade,01/08/24
23,Zain Shetty,01/07/24
24,Lavanya Comar,25/05/24
25,Yakshit Ganesh,10/11/24
26,Emir Deshmukh,08/08/24
27,Mannat Ravel,07/12/24
28,Heer Koshy,27/03/25
29,Reyansh Wadhwa,20/08/24
30,Myra Gokhale,24/07/24
31,Alia Borra,17/08/23
32,Parinaaz Kothari,22/11/23
33,Shanaya Batta,08/03/25
34,Vritika Rao,07/07/24
35,Dharmajan Konda,11/01/25
36,Dishani Garg,11/12/23
37,Kismat Kumer,03/12/24
38,Rhea Dugar,08/12/24
39,Dishani Din,05/01/25
40,Prisha Bandi,28/09/24
41,Madhup Dixit,01/11/23
42,Gatik Bhatnagar,14/01/25
43,Eva Kala,03/07/24
44,Saksham Thakur,03/03/24
45,Chirag Balay,11/09/24
46,Hrishita Chatterjee,16/02/25
47,Gatik Chandran,11/08/24
48,Saanvi Balakrishnan,22/07/24
49,Biju Bava,16/10/23
50,Mannat Korpal,20/10/23
51,Elakshi Bhatti,05/07/24
52,Mishti Sarraf,03/01/25
53,Samaira Sama,04/12/23
54,Sahil Kothari,23/11/24
55,Shamik Brahmbhatt,28/06/24
56,Divij Mand,23/10/24
57,Nitara Dutt,14/08/23
58,Nishith Warrior,07/02/24
59,Aaryahi Goel,20/06/24
60,Anaya Badami,10/12/24
61,Kiaan Rege,06/05/24
62,Aarush Kaur,27/04/24
63,Tejas Ghose,29/11/24
64,Yasmin Sankaran,24/11/23
65,Shray Sabharwal,13/03/24
66,Divij Som,05/10/23
67,Mamooty Kalla,21/11/24
68,Jayesh Sekhon,21/04/25
69,Pihu Wason,28/07/24
70,Zaina Dubey,18/06/23
71,Aaryahi Malhotra,18/03/24
72,Advik Chand,24/05/24
73,Shanaya Master,08/12/23
74,Divit Uppal,30/07/24
75,Yakshit Ratti,10/10/23
76,Jayan Suresh,23/07/24
77,Badal Mane,10/12/24
78,Shaan Tailor,15/02/25
79,Anaya Loyal,07/07/24
80,Hiran Tailor,23/07/24
81,Ira Koshy,16/07/24
82,Rasha Taneja,03/07/23
83,Seher Buch,24/09/23
84,Shayak Borah,12/02/24
85,Sahil Walla,02/12/23
86,Trisha Dalal,03/09/24
87,Eshani Sanghvi,14/09/24
88,Tejas Lalla,21/05/25
89,Drishya Wali,10/01/25
90,Nehmat Dasgupta,13/02/24
91,Miraya Das,19/11/23
92,Samiha Ahuja,14/09/23
93,Divit Korpal,28/01/24
94,Eshani Jain,23/10/23
