rider_id,rider_name,sign_up
1,Harini Mangat,16/10/24
2,Eta Oza,15/04/25
3,Omisha Palan,11/05/24
4,Veda Sen,24/11/23
5,Onveer Mangat,16/05/24
6,Avi Palla,08/03/25
7,Nakul Garde,27/10/24
8,Hemal Nayak,23/05/24
9,Farhan Mani,11/12/23
10,Anamika Savant,17/04/25
11,Quincy Parmar,02/02/24
12,Vrishti Chaudhari,26/07/23
13,Nihal Balasubramanian,25/07/24
14,Harsh Atwal,26/05/25
15,George Mutti,20/05/25
16,Kiaan Desai,15/05/24
17,Harrison Gera,10/12/24
18,Ayush Kakar,07/05/25
19,Upma Wadhwa,01/06/23
20,Upma Misra,16/07/24
21,Kamya Minhas,10/10/23
22,Lila Raghavan,06/10/24
23,Niharika Brahmbhatt,12/09/23
24,Qasim Rastogi,19/07/24
25,Harish Talwar,30/06/23
26,Benjamin Bains,30/03/25
27,Veer Padmanabhan,13/12/23
28,Ikshita Setty,26/03/25
29,Diya Loyal,08/03/24
30,Leela Kunda,22/03/25
31,Zinal Memon,25/08/23
32,Odika Kulkarni,15/02/24
33,Madhav Om,16/04/24
34,Andrew Mangal,09/01/24
35,Aarav Shah,11/07/24
36,Amol Nagar,11/12/24
37,Omya Bhatt,01/02/25
38,Tanish Khatri,06/09/23
39,Kabir Dora,08/01/24
40,Dominic Din,19/05/24
41,Ira Kapadia,22/07/23
42,Wahab Dixit,15/03/24
43,Yutika Kanda,10/04/24
44,Priya Golla,23/12/24
45,Vedika Sachar,14/07/23
46,Imaran Guha,23/04/25
47,Vidhi Dugar,17/04/24
48,Fariq Chaudhuri,24/01/24
49,Yashawini Basu,10/12/24
50,Eta Gola,14/07/24
51,Vasatika Ramanathan,12/09/24
52,Pushti Chaudhari,09/08/23
53,Mekhala Dave,06/07/24
54,Darsh Agate,26/01/24
55,Bakhshi Sidhu,18/05/24
56,Arya Master,02/07/24
57,Wahab Mital,10/12/23
58,Ekalinga Vohra,10/08/23
59,Arjun Agrawal,15/04/24
60,Jonathan Chokshi,22/12/24
61,Kala Dhingra,05/08/23
62,Sanaya Singh,17/06/24
63,Ekalinga Kaul,13/01/24
64,Ekaja Garde,04/08/24
65,Falan Wadhwa,04/07/23
66,Thomas Sen,29/06/23
67,Advay Chandra,19/11/24
68,Gayathri Yogi,23/08/24
69,Gautam Narula,17/08/24
70,Deepa Zacharia,01/04/25
71,Lucky Sarin,14/07/23
72,Anirudh Puri,24/01/24
73,Mitesh Kapur,28/08/24
74,Chandran Chander,04/04/24
75,Ayaan Date,19/06/24
76,Fariq Dixit,07/01/24
77,Saumya Nadkarni,01/02/25
78,Naksh Das,02/09/24
79,Mahika Sani,29/07/23
80,Anamika Badami,22/05/25
81,Garima Lata,11/08/24
82,Oscar Krishnamurthy,09/12/23
83,Simon Kashyap,26/07/23
84,Yadavi Chaudhuri,07/05/24
85,Arya Date,05/10/23
86,Mugdha Bandi,12/03/25
87,Viraj Tara,29/06/24
88,Irya Mukhopadhyay,16/10/24
89,Forum Chand,27/08/23
90,Unnati Tank,06/01/25
91,Ira Mukherjee,12/08/24
92,Ekbal Bala,16/01/25
93,Ishani Parmer,09/01/25
94,Champak Ranganathan,19/01/24
95,Dominic Deshpande,01/10/24
96,Arjun Kapur,11/03/25
97,Bimala Chad,03/02/24
98,Rayaan Kota,15/05/25
99,Joshua Chander,13/03/25
100,Yoshita Rastogi,19/03/25
101,Ekbal Barad,12/03/25
102,Timothy Jain,19/09/24
103,Isaiah Sunder,18/12/24
104,Advaith Shah,06/05/25
105,Zarna Bera,25/01/25
106,Anvi Sehgal,17/11/24
107,Sarthak Hayer,29/03/24
108,Jyoti Mander,14/01/24
109,Nachiket Gala,20/09/24
110,Charles Bahri,01/07/24
111,Udant Gandhi,13/10/24
112,Diya Dugar,26/10/23
113,Harinakshi Rana,29/09/24
114,Ishanvi Hans,21/07/24
115,Warinder Kari,20/09/24
116,Charles Om,21/01/24
117,Peter Randhawa,29/08/23
118,Vasana Lalla,26/10/24
119,Veda Raju,27/02/24
120,Vedant Bains,21/07/24
121,Jagrati Sha,10/03/24
122,Simon Kapur,16/12/24
123,Krish Sachdev,24/10/24
124,Damyanti Puri,04/02/25
125,Chasmum Dhingra,21/03/24
126,Timothy Chanda,23/03/24
127,Anirudh Gokhale,26/03/24
128,Laban Kunda,17/06/24
129,Fariq Krishnamurthy,19/08/23
130,Manthan Bhavsar,02/01/25
131,Ijaya Bhatt,01/02/25
132,Charles Wali,11/06/23
133,Dayita Rege,16/07/24
134,Nitesh Singh,16/12/23
135,Netra Konda,17/08/23
136,Geetika More,18/10/24
137,Tara Wable,20/07/24
138,Laksh Sibal,23/11/23
139,Ansh Khurana,16/12/24
140,Sudiksha Mistry,16/10/24
141,Max Chhabra,29/05/23
142,Michael Shenoy,07/10/23
143,Liam Bhasin,25/11/24
144,Indali Johal,06/01/25
145,Mohini Kara,08/07/24
146,Wazir Bhavsar,02/04/24
147,Anjali Bail,09/03/25
148,Chaman Bose,04/06/23
149,Arya Doctor,24/08/24
150,Jyoti Wali,02/02/24
151,Abhimanyu Shanker,05/01/25
152,Hiral Mitra,25/12/23
153,Prisha Keer,01/12/23
154,Qasim Raval,28/10/24
155,Nitara Raval,24/09/23
156,Owen Chander,01/09/23
157,Jagrati Gala,14/04/24
158,Odika Nayar,31/08/24
159,Vinaya Sama,20/12/24
160,Leela Jaggi,25/05/24
161,Panini Mahajan,13/02/25
162,Jairaj Parekh,01/04/25
163,Kritika Amble,01/01/24
164,Guneet Gulati,29/01/24
165,Gaurika Naidu,07/10/23
166,Daksh Mital,28/05/24
167,Bhavini Prasad,12/09/23
168,Zilmil Chatterjee,05/05/24
169,Jasmit D’Alia,07/01/25
170,Jack Bawa,06/03/25
171,Urmi Suresh,09/05/25
172,Darika Khare,27/04/25
173,Radhika Devi,30/07/23
174,Zashil Kaul,14/10/24
175,Omaja Gandhi,29/05/24
176,Ira Dara,26/06/24
177,Yashodhara Mane,29/05/23
178,Ati Dutt,05/04/24
179,Tanveer Cheema,23/09/24
180,Sneha Chandran,05/08/24
181,Urmi Kashyap,06/11/23
182,Tristan Chandra,01/01/24
183,Jyoti Lala,10/02/25
184,Panini Trivedi,18/03/24
185,Janani Sawhney,26/11/24
186,Aryan Ramanathan,12/09/23
187,Hardik Konda,08/04/25
188,Elijah Nagarajan,23/08/23
189,Oeshi Sarin,25/01/24
190,Ekani Gokhale,31/07/24
191,Vedhika Chacko,01/10/23
192,Kashvi Nigam,05/09/23
193,Ira Dara,25/12/23
194,Jagrati Rajan,22/05/24
195,Oni Bath,10/09/24
196,Chanchal Swamy,11/08/24
197,Sudiksha Sekhon,26/11/24
198,Darpan Modi,07/01/24
199,Sanaya Agrawal,26/01/25
200,Yashica Rama,12/04/24
201,Krisha Natt,17/10/24
202,Megha Dhingra,16/03/24
203,Varenya Wali,11/06/24
204,Yasti Deo,15/01/25
205,Nicholas Tiwari,27/01/25
206,Odika Parikh,26/02/25
207,Ati Gokhale,05/01/24
208,Nitesh Basak,18/02/25
209,Yachana Khanna,25/06/24
210,Jeet Brahmbhatt,18/12/23
211,Lila Ahluwalia,01/12/23
212,Ekiya Andra,29/04/24
213,Nimrat Balakrishnan,24/12/24
214,Karan Ram,19/10/23
215,Yauvani Dugar,06/07/24
216,Radha Sibal,18/09/23
217,Alka Choudhry,23/03/24
218,Krishna Tak,14/05/25
219,Baljiwan Hora,16/07/24
220,Janya Varkey,11/07/24
221,Aadi Dubey,07/06/24
222,Faqid Pathak,27/03/25
223,Vaishnavi Sen,10/04/24
224,Aryan Shanker,05/06/24
225,Hredhaan Krishnamurthy,12/06/23
226,Warjas Sinha,15/02/25
227,Ayaan Dayal,05/02/25
228,Falan Raj,23/05/25
229,Hamsini Kuruvilla,02/12/24
230,Naksh Sengupta,12/05/24
231,Raksha Din,26/02/24
232,Lila Sandhu,20/02/24
233,Irya Bhalla,28/02/24
234,Tanmayi Bawa,25/12/24
235,Ikbal Gera,20/03/24
236,Rajata Kala,03/07/24
237,Hamsini Sinha,03/02/25
238,Harish Bahl,03/03/24
239,Sara Trivedi,25/05/24
240,Abeer Mishra,28/12/24
241,Upadhriti Nair,30/07/24
242,Rehaan Raj,10/08/24
243,Vamakshi Nayar,08/01/24
244,Samaksh Deol,02/11/23
245,Wyatt Johal,01/09/24
246,Vrishti Raju,27/12/23
247,Priya Mital,23/06/24
248,Yashvi Ram,22/06/23
249,Yasti Chana,26/08/24
250,Reva Sethi,13/01/24
251,Indira Kanda,30/01/25
252,Bishakha Khatri,08/05/25
253,Geetika Lala,04/10/24
254,Ikshita Bora,27/03/25
255,Sara Luthra,24/03/25
256,Simon Wali,12/03/25
257,Anika Sethi,08/01/25
258,Tanmayi Pal,11/09/23
259,Yachana Loke,17/05/25
260,Hredhaan Nagarajan,19/01/24
261,Nakul Bhandari,26/06/24
262,Agastya Borra,20/07/23
263,Daniel Kannan,03/07/23
264,Kashish Bora,18/07/23
265,Kevin Amble,25/09/24
266,Girish Oommen,19/04/25
267,Oviya Barad,02/10/23
268,George Agarwal,03/12/23
269,Upkaar Samra,19/03/24
270,Maanav Sinha,09/05/24
271,Onkar Datta,07/04/25
272,Yadavi Krishnan,08/09/24
273,Rachit Dhar,25/01/24
274,Wakeeta Sur,27/07/23
275,Mitesh Roy,27/05/24
276,Christopher Chandran,19/01/24
277,Darika Buch,27/08/24
278,Owen Thakur,29/03/25
279,Wyatt Palan,04/10/23
280,Kalpit Deep,30/03/24
281,Janaki Sarma,06/11/23
282,Vamakshi Doctor,29/10/24
283,Yamini Chaudry,28/05/23
284,Chaaya Edwin,04/07/24
285,Wridesh Narang,11/01/24
286,Ojasvi Hegde,09/02/24
287,Frado Anand,20/02/25
288,Pooja Ratti,03/08/24
289,Vihaan Peri,28/01/25
290,Rehaan Warrior,18/10/23
291,Ijaya Kala,31/12/23
292,Nirja Rajan,13/08/24
293,Aarna Palla,24/11/23
294,Tanay Kara,23/08/23
295,Ishita Pau,25/08/24
296,Vedhika Natt,19/01/24
297,Hema Kade,29/06/23
298,Jack Issac,01/12/24
299,David Savant,19/06/23
300,Christopher Saini,10/02/24
301,Qasim Mannan,18/07/23
302,Hardik Ray,24/10/24
303,Nikita Pillay,12/09/24
304,Lopa Prashad,18/03/24
305,Brinda Konda,08/10/24
306,Chatura Loyal,29/08/24
307,Vamakshi Swaminathan,29/11/24
308,Jairaj Raja,10/08/23
309,Gunbir Barman,10/10/24
310,Bhavini Goel,22/08/23
311,Harinakshi Mallick,17/08/24
312,Triveni Sastry,18/12/23
